Millstone Hill RedLine  Brightness and Temperature
Plate gap:  1.0525 FSR:   84.4553 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
mh151101   flats: mh151101  quadratic background, Poisson weighting, ( sky  )   moon phase:  Waning gibbous ;
avg. brightness Z (R):   26.2 +/- 24.3 avg. error:   2.0
avg. brightness N (R):   34.2 +/- 27.6 avg. error:   2.2  avg. brightness S (R):   33.2 +/- 29.7 avg. error:   2.2
avg. brightness E (R):   34.7 +/- 26.7 avg. error:   2.3  avg. brightness W (R):   33.5 +/- 30.0 avg. error:   2.2
avg. background Z (R):   49.2 +/- 36.2 avg. error:   1.6
avg. background N (R):   49.6 +/- 28.2 avg. error:   1.2  avg. background S (R):   63.8 +/- 62.3 avg. error:   3.6
avg. background E (R):   61.8 +/- 51.2 avg. error:   2.0  avg. background W (R):   53.2 +/- 59.7 avg. error:   2.2
     avg. temp. Z (K):  889.4 +/- 57.4 avg. error:  46.2
     avg. temp. N (K):  898.3 +/- 45.2 avg. error:  36.1  avg. temp. S (K):  887.1 +/- 69.5 avg. error:  42.0
     avg. temp. E (K):  887.5 +/- 56.4 avg. error:  39.9  avg. temp. W (K):  901.1 +/- 61.4 avg. error:  37.8
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
 
 
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
 124 31.08 0.021 270.0  45.0   14.54   1.916    57.3    1.27  905.877  60.978 62.5  2
 126 31.19 0.021   0.0  45.0   15.12   2.050    71.0    1.40  873.695  60.925 62.5  2
 129 31.34 0.021 270.0  45.0   15.59   1.890    55.7    1.23  821.912  50.360 62.4  2
 130 31.59 0.021   0.0   0.0   16.79   1.807    44.5    1.10  825.602  44.110 62.4  2
 131 31.65 0.021   0.0  45.0   17.28   2.076    67.0    1.37  903.311  55.390 62.4  2
 132 31.70 0.021  90.0  45.0   22.53   2.500   105.4    1.71  874.685  49.920 62.3  2
 133 31.75 0.021 180.0  45.0   22.28   2.019    52.3    1.20  832.442  37.209 62.3  2
 134 31.80 0.021 270.0  45.0   20.94   1.936    46.4    1.13  849.677  38.654 62.3  1
 135 31.86 0.021   0.0   0.0   19.63   1.882    44.0    1.11  855.420  40.398 62.3  1
 136 31.91 0.021   0.0  45.0   22.36   1.905    40.2    1.06  854.578  35.343 62.3  1
 137 31.96 0.021  90.0  45.0   26.41   2.122    52.2    1.21  870.679  34.231 62.3  1
 138 32.02 0.021 180.0  45.0   26.06   2.059    47.3    1.15  848.303  32.532 62.3  1
 139 32.07 0.021 270.0  45.0   24.64   1.939    37.8    1.03  878.606  33.270 62.2  0
 140 32.82 0.021   0.0   0.0   19.33   1.932    50.3    1.17  833.655  41.361 62.0  2
 141 32.87 0.021   0.0  45.0   22.62   1.934    42.3    1.09  855.843  35.623 62.0  1
 142 32.92 0.021  90.0  45.0   26.57   2.168    57.4    1.26  852.528  34.166 62.0  1
 143 32.98 0.021 180.0  45.0   25.31   2.358    85.6    1.52  798.035  37.395 62.0  2
 144 33.03 0.021 270.0  45.0   26.06   2.031    43.2    1.10  888.194  33.499 62.0  1
 145 33.08 0.021   0.0   0.0   20.21   1.928    47.7    1.15  836.942  39.405 62.0  2
 146 33.14 0.021   0.0  45.0   23.48   1.976    44.2    1.11  862.510  35.362 61.9  1
 147 33.19 0.021  90.0  45.0   28.90   2.175    54.6   10.38  799.491  29.239 61.9  1
 149 33.29 0.021 270.0  45.0   28.74   2.088    43.2    1.11  888.244  31.026 61.9  1
 150 33.54 0.021   0.0   0.0   24.70   2.144    59.5    1.28  841.200  36.094 61.8  1
 151 33.60 0.021   0.0  45.0   26.84   2.041    42.8    1.10  881.831  32.356 61.8  1
 152 33.65 0.021  90.0  45.0   35.58   2.368    59.3   10.84  852.771  27.457 61.8  1
 153 33.70 0.021 180.0  45.0   33.62   2.554    89.9    1.56  810.068  30.545 61.8  2
 154 33.76 0.021 270.0  45.0   31.56   2.201    49.8    1.18  860.078  28.868 61.8  1
 155 33.81 0.021   0.0   0.0   27.22   2.187    56.9    1.26  876.772  34.593 61.8  1
 156 33.86 0.021   0.0  45.0   28.39   2.181    55.9    1.24  825.767  30.922 61.7  1
 157 33.91 0.021  90.0  45.0   37.10   2.397    62.0    1.30  811.883  25.261 61.7  1
 158 33.97 0.021 180.0  45.0   32.36   2.870   138.1   16.45  805.070  36.466 61.7  2
 159 34.02 0.021 270.0  45.0   30.89   2.337    67.8    1.36  830.773  30.863 61.7  1
 160 34.27 0.021   0.0   0.0   32.97   2.565    92.5    1.59  816.082  31.626 61.6  2
 161 34.32 0.021   0.0  45.0   36.42   2.405    63.7    1.33  827.055  26.414 61.6  1
 162 34.37 0.021  90.0  45.0   63.58   3.035    89.6    1.58  827.756  18.828 61.6  1
 163 34.43 0.021 180.0  45.0   45.45   3.113   151.1    2.00  752.167  25.803 61.6  2
 164 34.48 0.021 270.0  45.0   41.19   2.599    77.7    1.46  819.599  25.113 61.6  1
 165 34.53 0.021   0.0   0.0   49.99   2.847    95.1    1.60  778.186  21.475 61.6  1
 166 34.59 0.021   0.0  45.0   61.20   3.185   121.0    1.81  790.731  20.012 61.5  1
 167 34.64 0.021  90.0  45.0  108.22   4.555   291.0    2.79  774.544  16.151 61.5  2
 168 34.69 0.021 180.0  45.0   85.24   4.449   335.0   24.94  714.667  18.833 61.5  2
 169 34.74 0.021 270.0  45.0   60.23   4.244   367.3   26.68  672.749  24.422 61.5  2
Raw data available upon request
