Millstone Hill RedLine  Brightness and Temperature
Plate gap:  1.0525 FSR:   84.0761 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
mh220301   flats: mh220301  quadratic background, Poisson weighting, ( sky  )   moon phase:  NEW      ; Moon 
avg. brightness Z (R):   17.0 +/- 14.5 avg. error:   1.8
avg. brightness N (R):   16.6 +/-  9.5 avg. error:   1.8  avg. brightness S (R):   19.4 +/- 14.0 avg. error:   1.9
avg. brightness E (R):   21.5 +/- 12.9 avg. error:   2.0  avg. brightness W (R):   17.2 +/- 14.2 avg. error:   1.8
avg. background Z (R):   43.5 +/- 18.5 avg. error:   1.1
avg. background N (R):   43.4 +/- 16.0 avg. error:   1.1  avg. background S (R):   49.8 +/- 30.9 avg. error:   1.2
avg. background E (R):   56.6 +/- 39.5 avg. error:   1.2  avg. background W (R):   44.8 +/- 20.8 avg. error:   1.1
     avg. temp. Z (K):  909.9 +/- 68.7 avg. error:  61.2
     avg. temp. N (K):  907.0 +/- 58.7 avg. error:  58.3  avg. temp. S (K):  943.7 +/- 65.4 avg. error:  58.8
     avg. temp. E (K):  895.9 +/- 63.7 avg. error:  51.1  avg. temp. W (K):  912.0 +/- 53.8 avg. error:  60.2
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 42.61, longitude: -71.48
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
 145 31.12 0.012 270.0   0.0   10.30   1.455    28.1    0.90  936.249  66.304  5.1  2
 146 31.16 0.012   0.0  45.0   13.69   1.564    29.4    0.92  897.082  50.516  5.1  1
 147 31.20 0.012  90.0  45.0   14.60   1.636    30.9    0.96  992.623  55.132  5.1  1
 148 31.23 0.012 180.0  45.0   12.20   1.522    30.2    0.92  864.847  53.543  5.1  2
 149 31.27 0.012 270.0  45.0   12.30   1.512    29.0    0.91  879.177  53.522  5.0  1
 150 31.44 0.012 270.0   0.0   10.02   1.438    27.9    0.89  919.382  66.188  5.0  2
 151 31.48 0.012   0.0  45.0   12.67   1.525    29.2    0.91  875.861  52.120  5.0  1
 152 31.53 0.012  90.0  45.0   14.00   1.579    30.9    0.93  850.103  47.209  5.0  1
 153 31.56 0.012 180.0  45.0   12.61   1.559    30.3    0.94  948.893  58.403  5.0  1
 154 31.60 0.012 270.0  45.0   11.12   1.483    29.9    0.92  858.779  57.096  4.9  2
 155 31.65 0.012 270.0   0.0   10.03   1.457    29.5    0.92  907.587  66.332  4.9  2
 156 31.69 0.012   0.0  45.0   13.09   1.552    29.8    0.92  895.625  52.518  4.9  1
 157 31.74 0.012  90.0  45.0   15.09   1.655    33.8    0.98  883.359  47.834  4.9  1
 158 31.77 0.012 180.0  45.0   12.55   1.564    30.8    0.95  948.470  58.957  4.9  2
 159 31.81 0.012 270.0  45.0   10.78   1.483    30.0    0.92  887.461  61.091  4.9  2
 160 31.98 0.012 270.0   0.0    9.42   1.580    44.2    1.09  779.336  66.864  4.8  2
 161 32.02 0.013   0.0  45.0   13.86   1.638    35.3    1.00  876.407  51.521  4.8  1
 162 32.06 0.013  90.0  45.0   13.58   1.803    49.0    1.18  917.101  61.959  4.8  2
 164 32.13 0.013 270.0  45.0   11.94   1.515    29.1    0.92  922.940  58.316  4.8  2
 165 32.18 0.013 270.0   0.0   11.64   1.474    28.3    0.89  848.948  53.232  4.8  1
 166 32.22 0.013   0.0  45.0   15.58   1.613    29.7    0.92  869.299  43.928  4.8  1
 167 32.26 0.013  90.0  45.0   18.60   1.719    31.7    0.95  873.045  39.113  4.8  1
 168 32.30 0.013 180.0  45.0   14.59   1.613    30.3    0.94  941.245  51.366  4.8  1
 169 32.34 0.013 270.0  45.0   12.89   1.538    29.3    0.91  892.847  52.718  4.7  1
 170 32.51 0.013 270.0   0.0   13.96   1.564    28.6    0.91  906.844  49.944  4.7  1
 171 32.55 0.013   0.0  45.0   18.06   1.693    30.4    0.93  885.997  40.259  4.7  1
 172 32.59 0.013  90.0  45.0   21.96   1.811    32.6    0.96  867.744  34.345  4.7  0
 173 32.63 0.013 180.0  45.0   18.30   1.715    31.6    0.95  889.484  40.489  4.7  1
 174 32.67 0.013 270.0  45.0   16.93   1.680    30.8    0.95  926.858  44.949  4.7  1
 175 32.72 0.013 270.0   0.0   16.41   1.620    29.1    0.90  841.651  40.290  4.6  1
 176 32.75 0.013   0.0  45.0   19.35   1.719    30.3    0.93  866.571  37.072  4.6  0
 177 32.79 0.013  90.0  45.0   23.46   1.846    33.4    0.97  834.589  31.349  4.6  0
 178 32.83 0.013 180.0  45.0   21.20   1.798    31.6    0.96  930.774  38.082  4.6  0
 179 32.87 0.013 270.0  45.0   18.23   1.702    30.3    0.93  906.762  41.041  4.6  1
 180 33.04 0.013 270.0   0.0   18.31   1.671    28.5    0.90  868.981  38.174  4.5  0
 181 33.08 0.013   0.0  45.0   20.94   1.765    30.0    0.93  901.004  36.441  4.5  0
 182 33.11 0.013  90.0  45.0   27.12   1.939    32.5    0.97  905.529  30.697  4.5  0
 183 33.15 0.013 180.0  45.0   23.59   1.845    31.5    0.95  899.565  33.608  4.5  0
 184 33.19 0.013 270.0  45.0   20.43   1.745    29.9    0.92  880.828  36.111  4.5  0
 185 33.24 0.013 270.0   0.0   19.51   1.702    29.2    0.91  838.953  35.087  4.5  0
 186 33.28 0.013   0.0  45.0   22.62   1.801    30.4    0.93  866.675  32.871  4.5  0
 187 33.33 0.013  90.0  45.0   28.63   1.965    32.8    0.97  869.230  28.119  4.5  0
 188 33.37 0.013 180.0  45.0   27.10   1.936    32.2    0.97  906.000  30.664  4.5  0
 189 33.41 0.013 270.0  45.0   23.32   1.822    30.6    0.94  876.651  32.617  4.4  0
 190 33.58 0.013 270.0   0.0   24.00   1.906    35.8    1.02  905.715  34.625  4.4  0
 191 33.62 0.013   0.0  45.0   22.50   1.910    40.2    1.07  869.705  35.882  4.4  1
 192 33.65 0.013  90.0  45.0   30.67   2.112    43.7    1.11  837.784  27.546  4.4  0
 193 33.70 0.013 180.0  45.0   29.86   2.086    41.8    1.09  866.090  28.925  4.4  0
 194 33.74 0.013 270.0  45.0   25.00   1.961    39.7    1.06  869.392  32.883  4.4  0
 195 33.79 0.013 270.0   0.0   27.23   1.988    37.5    1.04  876.800  30.583  4.3  0
 196 33.83 0.013   0.0  45.0   24.88   1.979    40.8    1.08  896.340  34.517  4.3  0
 197 33.87 0.013  90.0  45.0   33.76   2.212    46.2    1.15  876.405  27.418  4.3  0
 198 33.91 0.013 180.0  45.0   30.45   2.154    47.8    1.16  853.258  29.041  4.3  0
 199 33.95 0.013 270.0  45.0   28.54   2.046    40.1    1.07  882.540  30.285  4.3  0
 200 34.12 0.013 270.0   0.0   24.79   2.060    49.2    1.18  885.462  36.068  4.2  1
 201 34.16 0.013   0.0  45.0   14.33   1.789    48.3    1.16  848.427  53.467  4.2  2
 202 34.21 0.013  90.0  45.0   15.21   2.013    69.7    1.38  824.132  55.887  4.2  2
 203 34.24 0.013 180.0  45.0   15.22   2.004    69.3    1.38  812.534  54.771  4.2  2
 204 34.29 0.013 270.0  45.0   14.83   1.829    51.7    1.19  827.694  51.571  4.2  2
 205 34.34 0.013 270.0   0.0   15.26   1.879    55.9    1.24  816.537  50.902  4.2  2
 209 34.49 0.013 270.0  45.0    9.62   1.772    57.2    1.26  884.330  84.791  4.1  2
 210 34.66 0.013 270.0   0.0   26.36   2.328    75.5    1.46  869.970  38.484  4.1  2
 211 34.70 0.013   0.0  45.0   28.24   2.488    90.8    1.59  868.488  38.577  4.1  2
 212 34.74 0.013  90.0  45.0   33.54   2.936   152.6    2.02  759.067  33.902  4.1  2
Raw data available upon request
