Easton, Maine  Redline   Brightness and Temperature
Plate gap:  1.0320 FSR:   71.4248 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
me241204   flats: me241204  quadratic background, Poisson weighting, ( sky  )   moon phase:  Waxing crescent 
avg. brightness Z (R):  137.6 +/- 77.7 avg. error:   3.9
avg. brightness N (R):    0.0 +/-  0.0 avg. error:   0.0  avg. brightness S (R):    0.0 +/-  0.0 avg. error:   0.0
avg. brightness E (R):    0.0 +/-  0.0 avg. error:   0.0  avg. brightness W (R):    0.0 +/-  0.0 avg. error:   0.0
avg. background Z (R):  203.0 +/- 98.0 avg. error:   2.1
avg. background N (R):    0.0 +/-  0.0 avg. error:   0.0  avg. background S (R):    0.0 +/-  0.0 avg. error:   0.0
avg. background E (R):    0.0 +/-  0.0 avg. error:   0.0  avg. background W (R):    0.0 +/-  0.0 avg. error:   0.0
     avg. temp. Z (K):  601.2 +/- 48.8 avg. error:   9.5
     avg. temp. N (K):    0.0 +/-  0.0 avg. error:   0.0  avg. temp. S (K):    0.0 +/-  0.0 avg. error:   0.0
     avg. temp. E (K):    0.0 +/-  0.0 avg. error:   0.0  avg. temp. W (K):    0.0 +/-  0.0 avg. error:   0.0
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 46.68, longitude: -67.88
SS-Analyze V05.03
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
  94 25.74 0.017   0.0   0.0  153.08   3.948   157.1    1.84  612.268   7.210 26.3  1
  95 25.78 0.017   0.0   0.0  156.35   3.954   150.2    1.81  622.981   7.165 26.3  1
  96 25.82 0.017   0.0   0.0  154.63   3.935   148.0    1.80  630.244   7.297 26.3  1
  97 25.86 0.017   0.0   0.0  144.41   3.852   152.9    1.82  608.855   7.428 26.3  1
  98 25.90 0.017   0.0   0.0  137.17   3.777   152.9    1.81  595.908   7.524 26.3  1
  99 25.93 0.017   0.0   0.0  134.99   3.758   150.9    1.80  610.082   7.800 26.3  1
 100 26.06 0.017   0.0   0.0  117.51   3.668   175.8    1.93  579.377   8.454 26.4  1
 101 26.09 0.017   0.0   0.0  116.32   3.700   184.1    1.98  588.483   8.789 26.4  1
 102 26.13 0.017   0.0   0.0  114.79   3.727   193.1    2.03  603.784   9.260 26.4  1
 103 26.17 0.017   0.0   0.0  111.25   3.663   190.1    2.01  581.348   9.034 26.4  1
 104 26.21 0.017   0.0   0.0  111.86   3.653   182.8    1.97  593.642   9.128 26.4  1
 105 26.24 0.017   0.0   0.0  109.47   3.640   183.1    1.98  609.867   9.581 26.4  1
 106 26.28 0.017   0.0   0.0  105.02   3.595   185.6    1.99  593.560   9.621 26.4  1
 107 26.32 0.017   0.0   0.0  105.59   3.626   187.7    2.01  621.205  10.132 26.5  1
 108 26.36 0.017   0.0   0.0  105.88   3.628   186.7    2.00  623.944  10.150 26.5  1
