Cachoeira Paulista (temp) Red Line Fabry-Perot  Brightness and Temperature
Plate gap:  1.0192 FSR:  108.9364 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
br220308   flats: br220308  quadratic background, Poisson weighting, ( sky  )   moon phase:  First quarter ; 
avg. brightness Z (R):  217.7 +/-173.5 avg. error:   5.0
avg. brightness N (R):  353.9 +/-230.3 avg. error:   6.3  avg. brightness S (R):  223.0 +/-219.8 avg. error:   4.9
avg. brightness E (R):  226.2 +/-206.7 avg. error:   5.0  avg. brightness W (R):  359.6 +/-259.1 avg. error:   6.4
avg. background Z (R):   82.0 +/- 76.5 avg. error:   8.0
avg. background N (R):  109.9 +/- 55.3 avg. error:  11.6  avg. background S (R):   85.4 +/- 68.1 avg. error:   8.5
avg. background E (R):   88.0 +/- 95.7 avg. error:   8.9  avg. background W (R):  127.9 +/-102.5 avg. error:  12.9
     avg. temp. Z (K):  928.4 +/- 56.0 avg. error:  12.9
     avg. temp. N (K):  925.5 +/- 47.4 avg. error:   9.6  avg. temp. S (K):  929.6 +/- 49.1 avg. error:  13.6
     avg. temp. E (K):  926.9 +/- 49.1 avg. error:  13.0  avg. temp. W (K):  939.4 +/- 52.8 avg. error:  10.1
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: -22.66, longitude: -45.01
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
  69 25.09 0.017 270.0  45.0  387.67   6.723    93.5   13.58  924.128   6.802 41.1  1
  70 25.19 0.017   0.0   0.0  183.60   4.728    56.4   10.43  915.636  10.153 41.1  0
  71 25.23 0.017   0.0  45.0  269.86   5.675    74.8   12.03  914.261   8.225 41.1  1
  72 25.28 0.017  90.0  45.0  174.76   4.623    56.8    1.45  897.746  10.227 41.2  0
  73 25.32 0.017 180.0  45.0  175.73   4.661    59.1   10.67  899.977  10.327 41.2  0
  74 25.36 0.017 270.0  45.0  376.38   6.642    94.3   13.62  914.602   6.862 41.2  1
  75 25.40 0.017   0.0   0.0  174.15   4.638    59.2    1.47  901.567  10.370 41.2  0
  76 25.44 0.017   0.0  45.0  333.15   6.257    85.5   12.78  903.803   7.222 41.2  1
  77 25.48 0.017  90.0  45.0  163.34   4.499    56.4   10.33  879.575  10.485 41.2  0
  78 25.52 0.017 180.0  45.0  169.00   4.622    63.9   11.07  886.927  10.567 41.2  0
  79 25.57 0.017 270.0  45.0  328.41   6.255    91.2   13.27  900.360   7.330 41.2  1
  80 25.67 0.017   0.0   0.0  155.96   4.444    59.4   10.68  886.687  11.011 41.3  0
  81 25.71 0.017   0.0  45.0  225.67   5.499   108.8   14.34  902.150   9.744 41.3  1
  82 25.75 0.017  90.0  45.0  139.78   4.266    60.3   10.67  888.134  11.912 41.3  0
  83 25.79 0.017 180.0  45.0  121.33   4.244    87.0   12.86  882.445  14.046 41.3  0
  84 25.83 0.017 270.0  45.0   87.10   4.471   187.5   18.67  916.538  23.169 41.3  1
  85 25.87 0.017   0.0   0.0  128.82   4.383    91.5   13.11  915.560  14.200 41.3  1
  86 25.91 0.017   0.0  45.0   83.45   4.662   228.3   20.59  924.172  25.822 41.3  1
  87 25.95 0.017  90.0  45.0   84.00   3.773    90.1    1.79  908.515  19.095 41.3  0
  88 26.00 0.017 180.0  45.0   67.18   3.692   110.7   14.37  921.155  24.502 41.4  1
  89 26.04 0.017 270.0  45.0   72.93   4.173   165.9   17.71  951.769  26.976 41.4  1
  90 26.14 0.017   0.0   0.0   79.76   3.911   115.5   14.68  916.683  21.554 41.4  1
  91 26.18 0.017   0.0  45.0   84.63   4.567   207.0   19.63  936.178  25.114 41.4  1
  92 26.22 0.017  90.0  45.0   61.85   3.493    95.0   13.31  926.288  25.200 41.4  1
  93 26.27 0.017 180.0  45.0   90.71   3.750    74.5   11.81  891.285  16.943 41.4  0
  94 26.31 0.017 270.0  45.0  121.74   4.796   168.7   17.76  925.727  17.444 41.4  1
  95 26.35 0.017   0.0   0.0   93.64   4.111   116.9   14.77  911.339  18.978 41.4  1
  96 26.39 0.017   0.0  45.0  205.93   5.185    90.1   12.95  886.075   9.813 41.5  1
  97 26.43 0.017  90.0  45.0  113.27   3.986    65.6   11.12  898.790  14.196 41.5  0
  98 26.47 0.017 180.0  45.0   95.01   3.642    54.9    1.41  900.545  15.452 41.5  0
  99 26.51 0.017 270.0  45.0  214.95   5.377   106.0   14.14  892.011   9.898 41.5  1
 100 26.61 0.017   0.0   0.0  108.17   3.824    56.1    1.42  876.094  13.733 41.5  0
 101 26.66 0.017   0.0  45.0  175.10   4.977   105.3   13.97  889.451  11.369 41.5  1
 102 26.70 0.017  90.0  45.0   80.47   3.352    46.9    1.30  891.534  16.622 41.5  0
 103 26.74 0.017 180.0  45.0   78.78   3.377    51.9    1.36  904.308  17.516 41.6  0
 104 26.78 0.017 270.0  45.0  161.89   4.937   119.2   14.97  911.382  12.699 41.6  1
 105 26.82 0.017   0.0   0.0   97.57   3.654    51.5    1.37  916.317  15.280 41.6  0
 106 26.86 0.017   0.0  45.0  183.33   4.958    89.9    1.81  909.157  10.888 41.6  0
 107 26.91 0.017  90.0  45.0   64.73   3.082    43.9    1.26  926.192  19.997 41.6  0
 108 26.95 0.017 180.0  45.0   65.87   3.187    53.5    1.38  905.454  20.091 41.6  0
 109 26.99 0.017 270.0  45.0  150.08   4.499    73.5    1.64  940.970  12.515 41.6  0
 110 27.09 0.017   0.0   0.0   67.98   3.119    42.7    1.24  910.894  18.827 41.7  0
 111 27.13 0.017   0.0  45.0  153.40   4.573    78.1   12.07  922.316  12.250 41.7  0
 112 27.17 0.017  90.0  45.0   50.59   2.821    42.8    1.24  934.478  24.008 41.7  0
 113 27.21 0.017 180.0  45.0   47.49   2.780    44.3    1.27  942.551  25.624 41.7  0
 114 27.25 0.017 270.0  45.0  152.51   4.502    69.9   11.50  920.692  12.019 41.7  0
 115 27.29 0.017   0.0   0.0   52.46   2.848    43.7    1.24  879.641  21.896 41.7  0
 116 27.34 0.017   0.0  45.0  141.65   4.282    59.2    1.47  920.638  12.200 41.7  0
 117 27.38 0.017  90.0  45.0   45.08   2.730    44.4    1.26  930.067  26.228 41.7  0
 118 27.42 0.017 180.0  45.0   40.62   2.657    44.8    1.28  968.718  29.837 41.7  0
 119 27.46 0.017 270.0  45.0  122.83   4.107    65.1    1.54  928.490  13.839 41.8  0
 120 27.56 0.017   0.0   0.0   46.99   2.710    38.5    1.18  950.103  25.220 41.8  0
 121 27.60 0.017   0.0  45.0  118.25   3.952    53.2    1.40  942.141  13.889 41.8  0
 122 27.64 0.017  90.0  45.0   42.63   2.708    46.4    9.27  918.449  27.423 41.8  0
 123 27.68 0.017 180.0  45.0   39.88   2.711    51.5    1.36  958.452  30.993 41.8  0
 124 27.73 0.017 270.0  45.0  114.20   3.995    63.7    1.53  952.085  14.919 41.8  0
 125 27.77 0.017   0.0   0.0   50.82   2.839    44.2    1.26  930.208  23.989 41.8  0
 126 27.81 0.017   0.0  45.0  145.43   4.345    60.5    1.49  942.153  12.351 41.9  0
 127 27.85 0.017  90.0  45.0   49.70   2.830    44.9    1.27  946.881  24.990 41.9  0
 128 27.89 0.017 180.0  45.0   47.56   2.836    48.0    1.33  988.503  27.609 41.9  0
 129 27.93 0.017 270.0  45.0  144.59   4.508    81.9   12.36  936.296  13.114 41.9  0
 130 28.03 0.017   0.0   0.0   64.21   3.048    42.0    1.23  909.821  19.511 41.9  0
 131 28.07 0.017   0.0  45.0  213.81   5.105    65.3   11.01  933.425   9.603 41.9  0
 132 28.12 0.017  90.0  45.0   65.96   3.321    67.6    1.55  920.106  21.624 41.9  0
 133 28.16 0.017 180.0  45.0   62.73   3.114    50.0    1.34  942.862  21.491 42.0  0
 134 28.20 0.017 270.0  45.0  181.54   4.801    69.3    1.60  926.385  10.679 42.0  0
 135 28.24 0.017   0.0   0.0   86.25   3.427    44.0    1.27  938.496  16.591 42.0  0
 136 28.28 0.017   0.0  45.0  255.75   5.533    70.5   11.46  939.650   8.706 42.0  1
 137 28.32 0.017  90.0  45.0   88.65   3.485    46.7    1.30  927.766  16.250 42.0  0
 138 28.36 0.017 180.0  45.0   83.46   3.453    51.2    1.37  936.018  17.449 42.0  0
