Culebra Red Line Fabry-Perot  Brightness and Temperature
Plate gap:  1.0525 FSR:   68.8987 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
cu220825   flats: cu220825  quadratic background, Poisson weighting, ( sky  )   moon phase:  NEW      ; Moon 
avg. brightness Z (R):   45.1 +/- 35.6 avg. error:   2.0
avg. brightness N (R):   55.0 +/- 42.7 avg. error:   2.1  avg. brightness S (R):   55.3 +/- 41.3 avg. error:   2.1
avg. brightness E (R):   48.9 +/- 33.7 avg. error:   2.1  avg. brightness W (R):   57.3 +/- 45.0 avg. error:   2.2
avg. background Z (R):   28.7 +/- 12.4 avg. error:   0.8
avg. background N (R):   30.3 +/- 13.9 avg. error:   0.9  avg. background S (R):   31.6 +/- 17.8 avg. error:   0.9
avg. background E (R):   30.7 +/- 18.7 avg. error:   1.3  avg. background W (R):   31.9 +/- 23.0 avg. error:   1.3
     avg. temp. Z (K): 1037.4 +/-100.3 avg. error:  30.8
     avg. temp. N (K): 1035.2 +/- 79.2 avg. error:  25.1  avg. temp. S (K): 1049.6 +/-116.9 avg. error:  28.2
     avg. temp. E (K): 1048.1 +/- 87.9 avg. error:  27.4  avg. temp. W (K): 1024.6 +/- 93.9 avg. error:  26.2
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 18.33, longitude: -65.31
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
  97 28.10 0.017  90.0  45.0   20.36   1.568    24.7    0.80 1110.394  41.155  6.9  0
  98 28.14 0.017 180.0  45.0   16.55   1.491    24.3    0.80 1207.008  53.369  6.9  0
  99 28.18 0.017 270.0  45.0   17.89   1.511    24.8    0.80 1111.686  45.628  6.8  0
 100 28.31 0.017   0.0   0.0   14.93   1.440    23.3    0.79 1226.921  58.387  6.8  1
 101 28.35 0.017   0.0  45.0   18.00   1.512    24.5    0.80 1124.401  45.865  6.8  0
 102 28.39 0.017  90.0  45.0   18.81   1.533    24.6    0.80 1125.018  44.421  6.8  0
 103 28.43 0.017 180.0  45.0   16.02   1.475    24.4    0.80 1180.103  53.357  6.8  1
 104 28.47 0.017 270.0  45.0   16.27   1.479    24.6    0.80 1160.383  51.718  6.8  1
 105 28.51 0.017   0.0   0.0   13.72   1.395    23.4    0.78 1150.212  57.763  6.8  1
 106 28.56 0.017   0.0  45.0   17.78   1.515    24.3    0.80 1178.775  48.950  6.7  0
 107 28.60 0.017  90.0  45.0   19.03   1.553    24.4    0.81 1212.708  48.117  6.7  0
 108 28.64 0.017 180.0  45.0   16.29   1.504    24.2    0.82 1311.800  59.872  6.7  1
 109 28.68 0.017 270.0  45.0   16.10   1.470    24.2    0.79 1157.405  51.748  6.7  1
 110 28.81 0.017   0.0   0.0   13.00   1.424    25.1    0.82 1265.533  69.540  6.7  1
 111 28.85 0.017   0.0  45.0   17.85   1.507    24.2    0.79 1132.196  46.438  6.7  0
 112 28.89 0.017  90.0  45.0   18.56   1.527    24.4    0.80 1133.768  45.217  6.6  0
 113 28.93 0.017 180.0  45.0   18.15   1.543    24.3    0.82 1272.835  52.993  6.6  0
 114 28.97 0.017 270.0  45.0   16.22   1.470    24.9    0.80 1101.783  48.820  6.6  0
 115 29.01 0.017   0.0   0.0   13.20   1.392    23.3    0.79 1212.053  63.511  6.6  1
 116 29.06 0.017   0.0  45.0   18.24   1.532    24.3    0.81 1205.148  49.354  6.6  0
 117 29.10 0.017  90.0  45.0   19.91   1.575    24.3    0.81 1232.681  47.339  6.6  0
 118 29.14 0.017 180.0  45.0   20.15   1.578    24.4    0.81 1205.956  45.731  6.6  0
 119 29.18 0.017 270.0  45.0   16.64   1.526    26.7    0.84 1205.076  54.553  6.6  1
 120 29.30 0.017   0.0   0.0   14.06   1.426    23.1    0.79 1287.186  64.872  6.5  1
 121 29.35 0.017   0.0  45.0   17.53   1.513    24.3    0.80 1195.125  50.385  6.5  0
 122 29.39 0.017  90.0  45.0   23.21   1.642    24.9    0.81 1159.262  39.258  6.5  0
 123 29.43 0.017 180.0  45.0   22.09   1.614    24.6    0.80 1155.388  40.502  6.5  0
 124 29.47 0.017 270.0  45.0   17.24   1.497    24.3    0.80 1150.740  48.743  6.5  0
 125 29.51 0.017   0.0   0.0   16.86   1.476    23.4    0.78 1160.602  49.538  6.5  0
 126 29.55 0.017   0.0  45.0   18.28   1.526    24.3    0.80 1174.551  47.717  6.5  0
 127 29.60 0.017  90.0  45.0   25.13   1.667    25.0    0.80 1072.726  33.688  6.5  0
 128 29.64 0.017 180.0  45.0   24.45   1.658    24.8    0.80 1111.861  35.832  6.4  0
 129 29.68 0.017 270.0  45.0   20.03   1.574    24.5    0.81 1196.177  45.540  6.4  0
 130 29.80 0.017   0.0   0.0   18.67   1.505    23.5    0.77 1069.637  41.498  6.4  0
 131 29.85 0.017   0.0  45.0   21.96   1.610    24.7    0.80 1147.585  40.398  6.4  0
 132 29.89 0.017  90.0  45.0   28.92   1.749    25.5    0.81 1067.404  30.281  6.4  0
 133 29.93 0.017 180.0  45.0   30.11   1.763    25.5    0.80 1025.004  28.004  6.4  0
 134 29.97 0.017 270.0  45.0   25.92   1.683    25.1    0.80 1069.217  32.810  6.3  0
 135 30.01 0.017   0.0   0.0   22.51   1.591    24.3    0.78 1016.991  34.094  6.3  0
 136 30.05 0.017   0.0  45.0   26.44   1.686    25.1    0.79 1026.127  30.782  6.3  0
 137 30.10 0.017  90.0  45.0   34.95   1.862    25.9    0.81 1036.672  25.539  6.3  0
 138 30.14 0.017 180.0  45.0   35.66   1.871    26.1    0.81 1010.725  24.461  6.3  0
 139 30.18 0.017 270.0  45.0   33.48   1.830    25.6    0.81 1035.968  26.245  6.3  0
 140 30.30 0.017   0.0   0.0   27.70   1.709    24.6    0.79 1044.892  30.222  6.3  0
 141 30.34 0.017   0.0  45.0   33.65   1.836    25.8    0.81 1033.801  26.154  6.2  0
 142 30.39 0.017  90.0  45.0   40.87   1.967    26.6    0.82 1008.417  22.199  6.2  0
 143 30.43 0.017 180.0  45.0   46.88   2.073    27.1    0.83 1018.149  20.427  6.2  0
 144 30.47 0.017 270.0  45.0   46.38   2.056    26.9    0.82  987.266  19.822  6.2  0
 145 30.51 0.017   0.0   0.0   31.89   1.797    25.2    0.80 1041.735  27.276  6.2  0
 146 30.55 0.017   0.0  45.0   37.34   1.904    26.2    0.81 1020.987  23.964  6.2  0
 147 30.59 0.017  90.0  45.0   43.41   2.010    26.8    0.82 1001.182  21.109  6.2  0
 148 30.64 0.017 180.0  45.0   55.72   2.208    28.0    0.84  974.009  17.292  6.2  0
 149 30.68 0.017 270.0  45.0   54.32   2.178    27.6    0.83  950.742  17.061  6.2  0
 150 30.80 0.017   0.0   0.0   34.04   1.828    25.2    0.79  990.515  24.522  6.1  0
 151 30.84 0.017   0.0  45.0   41.13   1.970    26.4    0.82 1013.552  22.196  6.1  0
 152 30.89 0.017  90.0  45.0   51.63   2.143    27.7    0.83  972.232  18.160  6.1  0
 153 30.93 0.017 180.0  45.0   70.14   2.410    28.9    0.85  939.340  14.233  6.1  0
 154 30.97 0.017 270.0  45.0   63.52   2.317    28.2    0.84  952.366  15.407  6.1  0
 155 31.01 0.017   0.0   0.0   41.12   1.954    25.9    0.80  960.599  20.756  6.1  0
 156 31.05 0.017   0.0  45.0   46.39   2.059    26.7    0.82 1006.404  20.244  6.0  0
 157 31.09 0.017  90.0  45.0   56.81   2.220    28.1    0.84  950.668  16.593  6.0  0
 158 31.14 0.017 180.0  45.0   77.10   2.505    29.4    0.86  941.705  13.419  6.0  0
 159 31.18 0.017 270.0  45.0   70.28   2.409    29.1    0.85  914.072  13.794  6.0  0
 160 31.30 0.017   0.0   0.0   52.33   2.134    26.9    0.81  915.202  16.673  6.0  0
 161 31.34 0.017   0.0  45.0   55.84   2.209    27.9    0.84  973.369  17.246  6.0  0
 162 31.38 0.017  90.0  45.0   65.37   2.347    29.1    0.85  932.469  14.828  6.0  0
 163 31.43 0.017 180.0  45.0   89.93   2.665    30.6    0.87  903.409  11.624  5.9  0
 164 31.47 0.017 270.0  45.0   88.32   2.646    30.5    0.87  910.054  11.854  5.9  0
 165 31.51 0.017   0.0   0.0   60.43   2.262    27.7    0.83  919.998  15.272  5.9  0
 166 31.55 0.017   0.0  45.0   66.10   2.359    29.0    0.85  947.385  14.980  5.9  0
 167 31.59 0.017  90.0  45.0   67.87   2.381    29.2    0.85  933.612  14.479  5.9  0
 168 31.63 0.017 180.0  45.0   95.84   2.736    31.3    0.88  893.677  11.044  5.9  0
 169 31.68 0.017 270.0  45.0   88.84   2.649    30.3    0.87  905.186  11.725  5.9  0
 170 31.80 0.017   0.0   0.0   65.53   2.333    28.2    0.83  896.061  14.063  5.8  0
 171 31.84 0.017   0.0  45.0   66.49   2.358    28.9    0.85  920.395  14.422  5.8  0
 172 31.88 0.017  90.0  45.0   71.85   2.440    29.6    0.86  946.800  14.183  5.8  0
 173 31.93 0.017 180.0  45.0   97.73   2.756    31.3    0.88  887.583  10.815  5.8  0
 174 31.97 0.017 270.0  45.0   97.60   2.757    30.9    0.88  911.935  11.140  5.8  0
 175 32.01 0.017   0.0   0.0   71.49   2.419    28.8    0.84  905.752  13.462  5.8  0
 176 32.05 0.017   0.0  45.0   68.79   2.390    28.8    0.85  933.952  14.316  5.8  0
 177 32.09 0.017  90.0  45.0   71.47   2.435    29.4    0.86  955.205  14.364  5.8  0
 178 32.13 0.017 180.0  45.0   92.95   2.699    30.9    0.87  887.978  11.166  5.7  0
 179 32.18 0.017 270.0  45.0   92.62   2.693    30.4    0.87  902.821  11.372  5.7  0
 180 32.30 0.017   0.0   0.0   64.98   2.323    27.9    0.83  899.096  14.170  5.7  0
 181 32.34 0.017   0.0  45.0   72.41   2.440    28.9    0.85  938.908  13.919  5.7  0
 182 32.38 0.017  90.0  45.0   67.32   2.377    29.7    0.86  925.279  14.459  5.7  0
 183 32.42 0.017 180.0  45.0   82.56   2.574    30.4    0.87  904.568  12.309  5.7  0
 184 32.47 0.017 270.0  45.0   89.63   2.654    30.3    0.86  887.137  11.391  5.7  0
 185 32.51 0.017   0.0   0.0   69.19   2.385    28.6    0.84  895.943  13.576  5.6  0
 186 32.55 0.017   0.0  45.0   78.72   2.525    29.5    0.86  930.833  13.071  5.6  0
 187 32.59 0.017  90.0  45.0   69.97   2.416    29.9    0.86  931.025  14.198  5.6  0
 188 32.63 0.017 180.0  45.0   72.19   2.426    29.4    0.85  866.536  12.765  5.6  0
 189 32.67 0.017 270.0  45.0   85.99   2.605    29.7    0.85  883.754  11.618  5.6  0
 190 32.80 0.017   0.0   0.0   59.74   2.242    27.2    0.82  899.617  14.942  5.6  0
 191 32.84 0.017   0.0  45.0   84.56   2.598    29.9    0.86  924.772  12.387  5.5  0
 192 32.88 0.017  90.0  45.0   64.25   2.332    29.5    0.85  917.120  14.761  5.5  0
 193 32.92 0.017 180.0  45.0   65.49   2.331    28.2    0.83  894.237  14.030  5.5  0
 194 32.97 0.017 270.0  45.0   65.20   2.320    27.9    0.82  876.275  13.722  5.5  0
 195 33.01 0.017   0.0   0.0   55.34   2.182    27.3    0.82  912.490  16.028  5.5  0
 196 33.05 0.017   0.0  45.0   78.57   2.527    30.7    0.87  899.529  12.676  5.5  0
 197 33.09 0.017  90.0  45.0   66.21   2.373    31.1    0.87  914.621  14.554  5.5  0
 198 33.13 0.017 180.0  45.0   60.28   2.274    29.4    0.85  912.090  15.318  5.5  0
 199 33.17 0.017 270.0  45.0   53.30   2.171    29.7    0.85  889.784  16.259  5.5  0
 200 33.30 0.017   0.0   0.0   58.19   2.366    44.5    1.03  864.279  16.089  5.4  0
 201 33.34 0.017   0.0  45.0   92.60   3.117    92.0    1.47  867.376  13.623  5.4  1
 202 33.38 0.017  90.0  45.0  100.75   3.473   142.9   17.97  847.409  13.975  5.4  1
 203 33.42 0.017 180.0  45.0   68.20   3.083   138.1    1.78  840.015  18.572  5.4  1
 204 33.46 0.017 270.0  45.0   54.00   3.091   171.0   19.59  843.975  24.332  5.4  2
Raw data available upon request
