Arecibo Observatory Red Line Fabry-Perot  Brightness and Temperature
Plate gap:  1.0560 FSR:   84.7353 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
ao220308   flats: ao220308  quadratic background, Poisson weighting, ( sky  )   moon phase:  First quarter ; 
avg. brightness Z (R):   49.9 +/- 30.8 avg. error:   2.6
avg. brightness N (R):   58.4 +/- 36.6 avg. error:   2.8  avg. brightness S (R):   61.5 +/- 35.4 avg. error:   2.8
avg. brightness E (R):   64.5 +/- 36.0 avg. error:   2.8  avg. brightness W (R):   54.9 +/- 37.8 avg. error:   2.7
avg. background Z (R):   52.9 +/- 21.1 avg. error:   1.3
avg. background N (R):   60.6 +/- 32.6 avg. error:   1.6  avg. background S (R):   52.5 +/-  9.3 avg. error:   1.3
avg. background E (R):   55.3 +/- 10.7 avg. error:   1.3  avg. background W (R):   62.1 +/- 25.6 avg. error:   1.6
     avg. temp. Z (K): 1097.8 +/-121.2 avg. error:  36.3
     avg. temp. N (K): 1094.1 +/-112.9 avg. error:  33.8  avg. temp. S (K): 1117.9 +/-107.8 avg. error:  30.1
     avg. temp. E (K): 1119.4 +/-103.0 avg. error:  31.8  avg. temp. W (K): 1096.4 +/- 96.6 avg. error:  35.7
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 18.35, longitude: -66.75
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
 106 28.54 0.017   0.0  45.0   19.70   2.076    50.4    1.26 1187.923  63.491 40.9  1
 107 28.58 0.017  90.0  45.0   30.06   2.259    50.7    1.25 1069.549  39.447 41.0  0
 108 28.62 0.017 180.0  45.0   29.47   2.221    47.3    1.21 1094.977  40.422 41.0  0
 109 28.66 0.017 270.0  45.0   22.94   2.113    47.2    1.23 1198.109  55.300 41.0  1
 110 28.79 0.017   0.0   0.0   25.51   2.182    47.2    1.24 1243.453  53.103 41.0  1
 111 28.83 0.017   0.0  45.0   29.89   2.209    43.7    1.18 1165.847  42.168 41.0  0
 112 28.87 0.017  90.0  45.0   55.67   2.712    48.8    1.25 1140.778  26.199 41.0  0
 113 28.91 0.017 180.0  45.0   51.46   2.660    48.0    1.26 1220.106  30.025 41.0  0
 114 28.96 0.017 270.0  45.0   28.69   2.148    42.2    1.15 1099.052  40.106 41.1  0
 115 29.00 0.017   0.0   0.0   25.36   2.062    39.1    1.12 1175.511  46.972 41.1  0
 116 29.04 0.017   0.0  45.0   37.39   2.331    43.5    1.17 1092.972  32.663 41.1  0
 117 29.08 0.017  90.0  45.0   76.92   3.025    50.7    1.27 1092.195  19.778 41.1  0
 118 29.12 0.017 180.0  45.0   58.96   2.734    47.3    1.22 1093.412  23.679 41.1  0
 119 29.16 0.017 270.0  45.0   39.84   2.399    42.7    1.18 1203.044  34.788 41.1  0
 120 29.29 0.017   0.0   0.0   42.20   2.426    43.9    1.18 1103.983  30.208 41.2  0
 121 29.33 0.017   0.0  45.0   55.22   2.664    47.6    1.22 1048.247  23.670 41.2  0
 122 29.37 0.017  90.0  45.0   96.51   3.319    54.9    1.33 1106.822  17.364 41.2  0
 123 29.42 0.017 180.0  45.0   47.28   2.596    51.5    1.28 1118.543  29.360 41.2  0
 124 29.46 0.017 270.0  45.0   35.74   2.408    50.7    1.28 1192.684  39.306 41.2  0
 125 29.50 0.017   0.0   0.0   51.07   2.659    52.7    1.28 1086.816  26.897 41.2  0
 126 29.54 0.017   0.0  45.0   69.67   2.897    49.0    1.24 1056.657  20.280 41.2  0
 127 29.58 0.017  90.0  45.0  113.00   3.519    55.7    1.34 1101.055  15.478 41.2  1
 128 29.62 0.017 180.0  45.0   88.01   3.159    52.0    1.27 1014.585  16.550 41.2  0
 129 29.67 0.017 270.0  45.0   57.68   2.708    46.1    1.21 1112.353  24.416 41.3  0
 130 29.79 0.017   0.0   0.0   63.47   2.800    47.2    1.22 1087.209  22.263 41.3  0
 131 29.83 0.017   0.0  45.0   78.90   3.031    51.4    1.26 1002.442  17.607 41.3  0
